Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,cluster
Buku Anak;Buku Non-Fiksi;Novel Fiksi,Aplikasi Gramedia.com,Hiburan atau relaksasi;Kado atau hadiah,Aktivitas Rekreasional,Daily needs,Netral,Tidak Setuju,Sangat Tidak Setuju,Setuju,5
Komik,Website Gramedia.com,Hiburan atau relaksasi;Menambah pengetahuan;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Lifestyle,Self Wear,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,4
Sport & mainanan,Toko buku independen lainnya,Hiburan atau relaksasi;Kado atau hadiah;Menambah pengetahuan,Aktivitas Rekreasional;Literasi;Seni,Self Wear;edukasi,Setuju,Setuju,Netral,Setuju,1
Sport & mainanan,Aplikasi Gramedia.com,Kado atau hadiah;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Daily needs;edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,5
Alat Kantor/Sekolah;Buku Non-Fiksi,Website Gramedia.com,Untuk mengekspresikan kreativitas,Literasi,Self Wear;edukasi,Sangat Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju,1
Novel Fiksi;Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional;Lifestyle,Daily needs;Self Wear,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju,0
Komik,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,edukasi,Tidak Setuju,Sangat Setuju,Netral,Setuju,0
Alat Kantor/Sekolah,Toko Gramedia,Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Tidak Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju,4
Alat Kantor/Sekolah;Komik;Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Seni,Self Wear,Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,3
Alat Kantor/Sekolah;Alat Seni;Sport & mainanan,Toko Gramedia,Kado atau hadiah,Aktivitas Rekreasional;Lifestyle;Literasi,Self Wear;edukasi,Sangat Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju,1
Alat Kantor/Sekolah,Website Gramedia.com,Kado atau hadiah;Menambah pengetahuan,Aktivitas Rekreasional;Seni,Self Wear,Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju,3
Buku Anak;Edukasi;Novel Fiksi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Literasi,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju,4
Alat Seni;Buku Anak,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Literasi,Alat Seni;edukasi,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,2
Komik,Aplikasi Gramedia.com,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Self Wear,Tidak Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju,0
Buku Non-Fiksi;Sport & mainanan,Website Gramedia.com,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle;Seni,Alat Seni;Daily needs;Self Wear,Sangat Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju,3
Alat Seni;Buku Non-Fiksi,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Lifestyle;Literasi,Alat Seni,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju,3
