Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi, Buku Anak",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Travelling, Menulis (diari, blog, atau lainnya), Belanja online/offline"
Komik/Novel Grafis,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Bermain game (offline/online), Menghadiri acara budaya atau edukasi"
Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar 
Mainan/Collectible item,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Menulis (diari, blog, atau lainnya), Belanja online/offline"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah , Menghadiri acara budaya atau edukasi, Melukis atau menggambar "
"Novel Fiksi, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Untuk mengekspresikan kreativitas, Menambah pengetahuan",Menghadiri acara budaya atau edukasi
Komik/Novel Grafis,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Menghadiri acara budaya atau edukasi, Melukis atau menggambar , Travelling"
Jurnal/Perencana (Planner),Toko buku independen lainnya,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline
"Novel Fiksi, Jurnal/Perencana (Planner), Komik/Novel Grafis",Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain musik, Belanja online/offline, Travelling"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Alat Musik",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Bermain musik, Travelling, Menulis (diari, blog, atau lainnya)"
Alat Tulis Umum (Kantor/Sekolah),Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan",Bermain game (offline/online)
"Buku Anak, Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Untuk mengekspresikan kreativitas,"Olahraga, Menulis (diari, blog, atau lainnya)"
